YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2021-02,WEEKDAY,7,TRAIN,DT33,42015,14491
2021-02,WEEKDAY,0,TRAIN,DT24,44,247
2021-02,WEEKENDS/HOLIDAY,0,TRAIN,DT24,30,156
2021-02,WEEKDAY,0,TRAIN,NS18,173,945
2021-02,WEEKENDS/HOLIDAY,0,TRAIN,NS18,108,530
2021-02,WEEKENDS/HOLIDAY,22,TRAIN,NS24/NE6/CC1,10870,2495
2021-02,WEEKDAY,22,TRAIN,NS24/NE6/CC1,24436,4499
2021-02,WEEKENDS/HOLIDAY,21,TRAIN,EW3,3278,5685
2021-02,WEEKDAY,21,TRAIN,EW3,7369,13418
2021-02,WEEKDAY,20,TRAIN,DT5,6706,8954
2021-02,WEEKENDS/HOLIDAY,20,TRAIN,DT5,2926,3696
2021-02,WEEKDAY,15,TRAIN,DT22,3507,3879
2021-02,WEEKENDS/HOLIDAY,15,TRAIN,DT22,2306,2487
2021-02,WEEKDAY,21,TRAIN,CC27,2331,321
2021-02,WEEKENDS/HOLIDAY,21,TRAIN,CC27,775,162
2021-02,WEEKENDS/HOLIDAY,15,TRAIN,SE4,1178,1196
2021-02,WEEKDAY,15,TRAIN,SE4,2374,3387
2021-02,WEEKDAY,19,TRAIN,PW6,596,1577
2021-02,WEEKENDS/HOLIDAY,19,TRAIN,PW6,219,395
2021-02,WEEKENDS/HOLIDAY,8,TRAIN,NE10,3178,2938
2021-02,WEEKDAY,8,TRAIN,NE10,17279,20461
2021-02,WEEKENDS/HOLIDAY,21,TRAIN,CG1/DT35,3689,769
2021-02,WEEKDAY,21,TRAIN,CG1/DT35,8816,1201
2021-02,WEEKDAY,13,TRAIN,NS21/DT11,37415,42223
2021-02,WEEKENDS/HOLIDAY,13,TRAIN,NS21/DT11,21788,22003
2021-02,WEEKENDS/HOLIDAY,7,TRAIN,CC23,386,2015
2021-02,WEEKDAY,7,TRAIN,CC23,1977,21234
2021-02,WEEKDAY,16,TRAIN,SW1,2767,1603
2021-02,WEEKENDS/HOLIDAY,16,TRAIN,SW1,794,558
2021-02,WEEKENDS/HOLIDAY,20,TRAIN,NE15,2543,7499
2021-02,WEEKDAY,20,TRAIN,NE15,4576,20187
2021-02,WEEKENDS/HOLIDAY,13,TRAIN,EW29,3633,2687
2021-02,WEEKDAY,13,TRAIN,EW29,7139,5633
2021-02,WEEKENDS/HOLIDAY,13,TRAIN,EW30,568,184
2021-02,WEEKDAY,13,TRAIN,EW30,970,458
2021-02,WEEKDAY,7,TRAIN,EW32,1772,20517
2021-02,WEEKENDS/HOLIDAY,7,TRAIN,EW32,902,3103
2021-02,WEEKENDS/HOLIDAY,7,TRAIN,NE14,7133,3397
2021-02,WEEKDAY,7,TRAIN,NE14,57955,27223
2021-02,WEEKDAY,13,TRAIN,SE3,3229,2620
2021-02,WEEKENDS/HOLIDAY,13,TRAIN,SE3,1259,1049
2021-02,WEEKDAY,20,TRAIN,EW30,4763,552
2021-02,WEEKENDS/HOLIDAY,20,TRAIN,EW30,807,489
2021-02,WEEKDAY,12,TRAIN,NS17/CC15,13043,6119
2021-02,WEEKENDS/HOLIDAY,12,TRAIN,NS17/CC15,7923,3184
2021-02,WEEKENDS/HOLIDAY,15,TRAIN,EW26,10401,10100
2021-02,WEEKDAY,15,TRAIN,EW26,18507,20422
2021-02,WEEKDAY,9,TRAIN,EW23,29854,33893
