BUS_STOP_N,BUS_ROOF_N,LOC_DESC,geometry,index_right,OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area
11199,B02,BLK 15,POINT (22991.06000295561 32296.25400052033),124,125,1,GHIM MOH,QTSZ01,N,QUEENSTOWN,QT,CENTRAL REGION,CR,00F5E30B5C9B7AD8,2014-12-05,22899.1897,32579.9353,3223.64550359,485046.922717
11201,B03,CSC DEMPSEY CLUBHSE,POINT (25597.89770293515 32146.03379727155),71,72,3,RIDOUT,TNSZ03,N,TANGLIN,TN,CENTRAL REGION,CR,664D9D93F09E7CD1,2014-12-05,25568.3077,31752.6686,6450.97287923,1951865.75496
11209,B04,OPP PEIRCE RD,POINT (25442.85427316278 32281.6979897581),163,164,4,TYERSALL,TNSZ04,N,TANGLIN,TN,CENTRAL REGION,CR,DAC6AB8C67377C3B,2014-12-05,25732.6536,32985.8494,6430.98614739,2158289.71575
11211,B05,AFT PEIRCE RD,POINT (25345.13630011212 32294.66120024025),71,72,3,RIDOUT,TNSZ03,N,TANGLIN,TN,CENTRAL REGION,CR,664D9D93F09E7CD1,2014-12-05,25568.3077,31752.6686,6450.97287923,1951865.75496
11219,B06,GREAT EASTERN MANS,POINT (25101.71559705213 32462.5715025682),163,164,4,TYERSALL,TNSZ04,N,TANGLIN,TN,CENTRAL REGION,CR,DAC6AB8C67377C3B,2014-12-05,25732.6536,32985.8494,6430.98614739,2158289.71575
11221,B07,LIEN TWRS,POINT (24887.93580051232 32483.87040261179),71,72,3,RIDOUT,TNSZ03,N,TANGLIN,TN,CENTRAL REGION,CR,664D9D93F09E7CD1,2014-12-05,25568.3077,31752.6686,6450.97287923,1951865.75496
11229,B08,LES JARDINS DE HOLLAND,POINT (24881.15530016553 32540.17119869962),163,164,4,TYERSALL,TNSZ04,N,TANGLIN,TN,CENTRAL REGION,CR,DAC6AB8C67377C3B,2014-12-05,25732.6536,32985.8494,6430.98614739,2158289.71575
11231,B09,AFT ESTORIL MANSIONS,POINT (24414.95440240577 32611.955503162),168,169,7,LEEDON PARK,BTSZ07,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,BE682D8040DECFEA,2014-12-05,23947.764,33247.6811,7565.17005339,2049551.24988
11239,B10,FAIRLODGE,POINT (24475.93060124852 32648.07959910482),87,88,8,FARRER COURT,BTSZ08,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,709639180E81EC72,2014-12-05,24862.8217,33234.7951,4192.28952799,558760.531596
11259,B01,OPP BLK 21,POINT (23454.94750329573 32758.0721001178),118,119,2,HOLLAND DRIVE,QTSZ02,N,QUEENSTOWN,QT,CENTRAL REGION,CR,A29DC7655F65E7B3,2014-12-05,23711.437,32294.7721,3420.32933726,459546.285817
11261,B11,HOLLAND VILLAGE,POINT (23669.94846475869 32729.13798197173),168,169,7,LEEDON PARK,BTSZ07,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,BE682D8040DECFEA,2014-12-05,23947.764,33247.6811,7565.17005339,2049551.24988
11269,B12,OPP HOLLAND VILLAGE,POINT (23671.38707814738 32776.73593505286),168,169,7,LEEDON PARK,BTSZ07,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,BE682D8040DECFEA,2014-12-05,23947.764,33247.6811,7565.17005339,2049551.24988
11271,B13,AFT EAST SUSSEX LANE,POINT (23181.78700129781 33003.4199973885),133,134,4,ULU PANDAN,BTSZ04,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,FF2AA0D68743AE28,2014-12-05,22210.5093,33177.2208,6626.66718328,1228487.73417
11279,B14,AFT CORONATION RD WEST,POINT (23258.84300035518 32990.33700311743),168,169,7,LEEDON PARK,BTSZ07,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,BE682D8040DECFEA,2014-12-05,23947.764,33247.6811,7565.17005339,2049551.24988
11281,B15,AFT TAN BOON CHONG AVE,POINT (23009.12990251742 33168.54189921357),133,134,4,ULU PANDAN,BTSZ04,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,FF2AA0D68743AE28,2014-12-05,22210.5093,33177.2208,6626.66718328,1228487.73417
11289,B16,OPP TAN BOON CHONG AVE,POINT (23077.05750169326 33160.90870094113),168,169,7,LEEDON PARK,BTSZ07,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,BE682D8040DECFEA,2014-12-05,23947.764,33247.6811,7565.17005339,2049551.24988
11291,B17,COLD STORAGE JELITA,POINT (22723.57089069299 33349.84803169966),133,134,4,ULU PANDAN,BTSZ04,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,FF2AA0D68743AE28,2014-12-05,22210.5093,33177.2208,6626.66718328,1228487.73417
11299,B18,OPP COLD STORAGE JELITA,POINT (22692.94370689429 33395.70736735873),135,136,3,HOLLAND ROAD,BTSZ03,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,12A4B25B07B14D08,2014-12-05,22485.0193,34364.2896,8185.19732328,3392897.36359
11301,B12,HSE NO. 578,POINT (22949.73639820702 33372.79729715176),135,136,3,HOLLAND ROAD,BTSZ03,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,12A4B25B07B14D08,2014-12-05,22485.0193,34364.2896,8185.19732328,3392897.36359
11309,B13,HSE NO. 589,POINT (23001.65539944638 33428.12260158546),168,169,7,LEEDON PARK,BTSZ07,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,BE682D8040DECFEA,2014-12-05,23947.764,33247.6811,7565.17005339,2049551.24988
11311,B10,HSE NO. 532,POINT (23090.4211003948 33577.54029900208),135,136,3,HOLLAND ROAD,BTSZ03,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,12A4B25B07B14D08,2014-12-05,22485.0193,34364.2896,8185.19732328,3392897.36359
11319,B11,OPP HSE NO. 516,POINT (23130.86320155021 33613.60739747807),168,169,7,LEEDON PARK,BTSZ07,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,BE682D8040DECFEA,2014-12-05,23947.764,33247.6811,7565.17005339,2049551.24988
11321,B08,OPP REGENT VILLA,POINT (23189.70370172989 33722.73580107279),135,136,3,HOLLAND ROAD,BTSZ03,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,12A4B25B07B14D08,2014-12-05,22485.0193,34364.2896,8185.19732328,3392897.36359
11329,B09,REGENT VILLA,POINT (23284.46780010778 33839.86320323497),168,169,7,LEEDON PARK,BTSZ07,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,BE682D8040DECFEA,2014-12-05,23947.764,33247.6811,7565.17005339,2049551.24988
11331,B06,OPP DYNASTY GDN II,POINT (23344.81880243216 33947.75850115158),135,136,3,HOLLAND ROAD,BTSZ03,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,12A4B25B07B14D08,2014-12-05,22485.0193,34364.2896,8185.19732328,3392897.36359
