"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","states","totalTestResults","totalTestResultsIncrease"
"2020-07-26",139251,561,13343,10353,1380,58731,288479,26578975,479870,1336,2723,4209320,60768,56,56481691,868517
"2020-07-25",138690,1014,13279,10380,1820,59382,287099,26099105,367424,1300,2729,4148552,64845,56,55613174,888727
"2020-07-24",137676,1175,13182,10389,3063,59800,285279,25731681,448537,1297,2709,4083707,75061,56,54724447,1005158
"2020-07-23",136501,1070,12933,10423,2373,59860,282216,25283144,455453,1280,2467,4008646,71436,56,53719289,940049
"2020-07-22",135431,1149,12790,10460,2238,59758,279843,24827691,399426,1258,2444,3937210,69422,56,52779240,911515
"2020-07-21",134282,1041,12629,6717,2551,59476,277605,24428265,360741,1242,2414,3867788,62920,56,51867725,847896
"2020-07-20",133241,376,12475,6551,1563,58518,275054,24067524,364198,1223,2403,3804868,56663,56,51019829,741594
"2020-07-19",132865,527,12393,6384,888,58052,273491,23703326,378273,1216,2362,3748205,64230,56,50278235,779426
"2020-07-18",132338,876,12342,6397,1992,57822,272603,23325053,355989,1211,2343,3683975,64750,56,49498809,873771
"2020-07-17",131462,939,12243,6451,2485,57871,270611,22969064,420951,1200,2352,3619225,76524,56,48625038,953037
"2020-07-16",130523,941,12091,6349,2210,57602,268126,22548113,418204,1175,2314,3542701,70489,56,47672001,949687
"2020-07-15",129582,863,12002,6328,2388,56340,265916,22129909,404857,1166,2322,3472212,69373,56,46722314,921227
"2020-07-14",128719,741,11857,6238,2246,55678,263528,21725052,370955,1154,2263,3402839,58609,56,45801087,853256
"2020-07-13",127978,329,11749,6063,1120,54118,261282,21354097,335395,1142,2254,3344230,57160,56,44947831,757345
