"BUS_STOP_N,C,65","BUS_ROOF_N,C,10","LOC_DESC,C,254"
11021,B01,AFT QUEENSTOWN NPC HQ
83321,B01,KEMBANGAN STN
98311,B01,BEF MARIAM WALK
68111,B13,BEF SELETAR CAMP G
75229,B07,TEMASEK POLY EAST G
11159,B08,AFT CH OF OUR SAVIOUR
10489,B01,BLK 73
20341,B07,PAN TECH IND CPLX
84329,B07,BLK 414
07231,B03,BEF TAI HOE HOTEL
31041,B04,BEF MUSLIM CEMY PATH 7
21391,B06,RIVER VALLEY HIGH SCH
54011,B01,BLK 207
82121,B03,DUNMAN VIEW
55301,B03,AMK POLICE DIV HQ
60071,B02,KOLAM AYER IND EST
52391,B03,OPP BLK 231
95141,B07,AFT CARGO BLDG D
28129,B04,AFT TRACK 18
49169,B03,TONG SENG CONCRETE LTD
46661,B01,OPP BLK 896B
12079,B10,OPP BLK 116
65319,NIL,OASIS STN / EXIT A
28139,B06,AFT TRACK 22
52251,B01,CHUNG HWA FREE CLINIC
02089,NIL,PAN PACIFIC HOTEL
70111,B05,OPP CENCON BLDG
65161,B04,MERDIAN STN EXIT B
76411,B01,NGEE ANN SEC SCH
21469,B02,BEF CHIA PING RD
43671,B08,OPP DUNEARN SEC SCH
76151,B07,BLK 237
64441,B04,HOUGANG G. SHOP MALL
15119,B05,OPP SCI PK 2 / THE GALEN
47571,B04,BLK 618
24209,B02,AFT GUL LANE
91071,B17,BEF TG KATONG RD
54271,B13,BLK 586
54229,B22,ANG MO KIO PR SCH
31169,B31,TEEN CHALLENGE
01639,B02,BEF BEACH RD
58119,B06A,BLK 502A
95149,B08,BEF CARGO BLDG D
59399,B09,OPP BLK 367
95049,B04,SATS CARGO TER
17051,B06,OPP REGENT PK
59091,B13,BLK 154
21139,B14,AFT JURONG PORT RD
85031,B03,EXCELSIOR GDNS
26099,B03,BEF TUAS AVE 13
55221,B02,OPP SMRT BUSES AMK DEPOT
44479,B02,BLK 206
17189,B18,BLK 317
70191,B03,OPP BLK 66
83251,B08,BEF JLN KHAIRUDDIN
56191,B54,TEACHERS' HOUSING EST
96219,B01,TANAH MERAH FERRY TER
54531,B08,OPP BISHAN PK
84371,B03,BLK 546
28259,B12,OPP S'PORE SCIENCE CTR
25161,B07,TOYOCHEM INK
64011,B29,NAUNG RESIDENCE
52409,B04,OPP BLK 102
67439,B04,BLK 291A
28459,B06,OPP PARC OASIS
20211,B03,BLK 41
10069,B04,OPP BLK 140
92049,B02,PARKWAY PARADE
65601,NIL,SUMANG STN EXIT B
24631,B01,BEF BENOI RD
66101,B01,BLK 516
52481,B02,TOA PAYOH POLYCLINIC
67461,B02A,AFT SENGKANG EAST AVE
64491,B06,HOUGANG 1
84621,B17,OPP BLK 716
65609,NIL,SUMANG STN EXIT A
76361,B07,BLK 430
55031,B46,OPP NCS HUB
13179,B04,CLIVEDEN AT GRANGE
59449,B02,OPP NAVAL BASE PR SCH
95071,B06,CHANGI BEACH CP 4
34019,B10,AFT LIM CHU KANG LANE 4
15099,B09,NATL LEADERSHIP INST
66089,B01,S'PORE POWER TRG INST
21149,B06,JURONG PORT WORKSHOPS
43151,B02,OPP GLENDALE PK CONDO
43341,B06,PRINCESS E PR SCH
58191,B04,AFT WELLINGTON RD
01129,B10,OPP STAMFORD PR SCH
84271,B06,AFT BEDOK IND PK E
45229,B31,BEF W'LANDS RD
45171,B06,SRI ARASAKESARI SIVAN TP
83269,B03,OPP OPERA EST PR SCH
02031,B01,ST ANDREW'S CATH
47091,B03,BEF SENOKO CRES
44271,B01,BEF BLKS 13/14
28341,B15,CHINESE GDN STN
44081,B04,BLK 296A
55179,B14,OPP CASTLE GREEN
99119,B01,OPP CHANGI GOLF CLUB
96131,B02,BLK 130
70091,B01,OPP TRAFFIC POLICE
98081,B37,AFT JLN BATALONG
46719,B04,GIVAUDAN S'PORE
44639,B02,BT PANJANG PLAZA
49089,B03,BEF KRANJI CRES
43581,B05,BLK 347
12141,B01,OPP HENRY PK
23081,B12,OPP S'PORE DISCOVERY CTR
76249,B14,BLK 370
09022,B01,BEF ORCHARD STN EXIT B
21141,B05,AFT JLN BUROH
03218,B05,OPP MAS BLDG
43289,B01,HILLVIEW HSE
63139,B04,AFT AN-NAEEM MQUE
99171,B10,CHANGI BEACH CP 2
66371,B03,BLK 261
23049,B03,JURONG CAMP
66241,B01,HEMSLEY AVE
58189,B01,OPP POLICE DRV CIRCUIT
43431,B06,OPP BLK 242
25091,B01,AFT TUAS AVE 7
62091,B08,OPP GAMBIR RIDGE
67209,B01,BLK 203
02171,B04,OPP THE RITZ-CARLTON
21181,B03,OPP BLK 161
47051,B20,AFT WOODLANDS IND PK E4
43621,B04,OPP PARKVIEW APTS
23109,B03,AFT THIRD LOK YANG RD
22091,B02,AFT JLN SAMULUN
28639,B06,BLK 288E
21271,B05A,OPP ASSYAKIRIN MQUE
58199,B03,OPP AUCKLAND RD WEST
96159,B05,BLK 254
58129,B06,BLK 508 CP
18051,B02,ONE-NORTH STN
75069,B26,BEDOK REFORM TRG CTR
55361,B03,COUNTRYSIDE GDN P/G
65189,NIL,BEF PUNGGOL CTRL
45159,B01,MULTISTATES TRADING
52019,B17,AFT BISHAN RD
91151,NIL,HAWAII TWR
65181,NIL,AFT PUNGGOL CTRL
64419,B03,BLK 681
75101,B02,BLK 880
23411,B07,AFT JURONG MARINE BASE
53139,B07,MARYMOUNT VIEW
84211,B01,BLK 403
45321,B07,YEW TEE STN
31179,B29,AFT JLN BERSERI
27041,NIL,CP 7
57069,B10,OPP DIEPPE BARRACKS
43721,B02,BLK 319
10261,B03,DELTA SPORTS HALL
44201,B07,AFT PETIR STN
23211,B01,MAPLETREE LOGISTICS HUB
